Id,Label,sexlabel,type
766,Diego Arboleda,masculino,true
767,Guillermo Arriaga Jordán,masculino,true
768,Hernán Rivera Letelier,masculino,true
769,Arcadio López Casanova,masculino,true
770,Claudio Rodríguez,masculino,true
771,Francisco Brines,masculino,true
772,Maxwell Struthers Burt,masculino,true
773,Peter Baida,masculino,true
774,Roark Bradford,masculino,true
775,Leo E. Litwak,masculino,true
776,Louis Paul,masculino,true
777,Elena Quiroga,femenino,true
778,Roddy Doyle,masculino,true
779,Natalia Ginzburg,femenino,true
780,Dacia Maraini,femenino,true
781,Tove Jansson,femenino,true
782,Ennio Flaiano,masculino,true
783,Alberto da Costa e Silva,masculino,true
784,Andrés Neuman,masculino,true
